Locus	Supercontig	Start	Stop	Strand	NaN	Gene Name	Ontology Term ID	Ontology Term Name	Protein Family
NCU05033	supercont10.6	3983546	3985599	+	608.740740740741	hypothetical protein			
NCU06319	supercont10.4	2929003	2930841	-	608.72	hypothetical protein			
NCU01738	supercont10.2	2588905	2590909	-	608.666666666667	phosphatase regulation	"GO:0030437	GO:0030437"	"ascospore formation	ascospore formation"	
NCU07973	supercont10.4	1177375	1178607	-	608.55	hypothetical protein			
NCU02656	supercont10.1	3085860	3088776	-	608.472222222222	hypothetical protein			
NCU05855	supercont10.7	187116	188703	-	608.391304347826	O-methyltransferase			
NCU00406	supercont10.3	3747902	3751837	+	608.369565217391	protein kinase CHM1			
NCU03054	supercont10.1	8268272	8270596	-	608.266666666667	hypothetical protein			
NCU00586	supercont10.1	7917288	7919267	-	608.222222222222	non-anchored cell wall protein-6	"GO:0009416	FAO:0000024	GO:0009277	GO:0009416	FAO:0000024	GO:0009277	GO:0009277	FAO:0000024	FAO:0000024	GO:0009416	GO:0009277	GO:0009416"	"response to light stimulus	conidium	fungal-type cell wall	response to light stimulus	conidium	fungal-type cell wall	fungal-type cell wall	conidium	conidium	response to light stimulus	fungal-type cell wall	response to light stimulus"	
NCU03104	supercont10.1	4572199	4576097	+	608.065217391304	hypothetical protein			
NCU02931	supercont10.1	8652820	8655082	-	607.620689655172	hypothetical protein			
NCU02627	supercont10.1	2975173	2977599	-	607.548387096774	hypothetical protein			
NCU02243	supercont10.7	1041603	1044331	+	607.5	hypothetical protein			
NCU00606	supercont10.1	7858635	7859423	-	607.466666666667	short-chain alcohol dehydrogenase			
NCU01461	supercont10.5	4664614	4668652	+	607.446808510638	hypothetical protein			
NCU03778	supercont10.5	2383992	2385402	+	607.363636363636	small nuclear ribonucleoprotein Sm D2	"GO:0000245	GO:0008380	GO:0005681	GO:0005515	GO:0030532	GO:0005515	GO:0008380	GO:0005681	GO:0030532	GO:0005681	GO:0000245	GO:0008380	GO:0005515	GO:0005515	GO:0030532	GO:0005681	GO:0005681	GO:0030532	GO:0005681	GO:0030532	GO:0005515	GO:0000245	GO:0008380	GO:0008380	GO:0008380	GO:0000245	GO:0000245	GO:0000245	GO:0030532	GO:0005515"	"spliceosome assembly	RNA splicing	spliceosomal complex	protein binding	small nuclear ribonucleoprotein complex	protein binding	RNA splicing	spliceosomal complex	small nuclear ribonucleoprotein complex	spliceosomal complex	spliceosome assembly	RNA splicing	protein binding	protein binding	small nuclear ribonucleoprotein complex	spliceosomal complex	spliceosomal complex	small nuclear ribonucleoprotein complex	spliceosomal complex	small nuclear ribonucleoprotein complex	protein binding	spliceosome assembly	RNA splicing	RNA splicing	RNA splicing	spliceosome assembly	spliceosome assembly	spliceosome assembly	small nuclear ribonucleoprotein complex	protein binding"	
NCU09233	supercont10.1	9467974	9468925	+	607.294117647059	FAD synthetase			
NCU03507	supercont10.2	440060	441815	-	607.28	hypothetical protein			
NCU08744	supercont10.2	3866437	3868275	+	607.16	hypothetical protein			
NCU09869	supercont10.6	1838167	1842975	+	606.818181818182	exocyst complex component Sec3			
NCU11955	supercont10.2	2479611	2480771	+	606.777777777778	hypothetical protein			
NCU09035	supercont10.7	3846433	3847572	-	606.666666666667	alcohol dehydrogenase			
NCU09825	supercont10.5	519297	521189	-	606.461538461538	DNA damage response protein Rtt109			
NCU07557	supercont10.3	4367075	4370741	+	606.431818181818	hypothetical protein			
NCU04419	supercont10.4	3426578	3428813	+	606.333333333333	2-oxoglutarate-dependent ethylene/succinate-forming enzyme			
NCU08946	supercont10.5	5787828	5789095	-	606.263157894737	hypothetical protein	"GO:0005739	GO:0007007	GO:0005743	GO:0070584	GO:0007007	GO:0005743	GO:0005739	GO:0045861	GO:0005743	GO:0007007	GO:0006457	GO:0006457	GO:0070584	GO:0006457	GO:0045861	GO:0007007	GO:0070584	GO:0007007	GO:0005739	GO:0070584	GO:0006457	GO:0005739	GO:0007007	GO:0070584	GO:0045861	GO:0007007	GO:0006457	GO:0070584	GO:0005743	GO:0006457	GO:0045861	GO:0005739	GO:0070584	GO:0045861	GO:0005743	GO:0005743	GO:0005739	GO:0045861	GO:0045861	GO:0006457	GO:0005739	GO:0005743"	"mitochondrion	inner mitochondrial membrane organization	mitochondrial inner membrane	mitochondrion morphogenesis	inner mitochondrial membrane organization	mitochondrial inner membrane	mitochondrion	negative regulation of proteolysis	mitochondrial inner membrane	inner mitochondrial membrane organization	protein folding	protein folding	mitochondrion morphogenesis	protein folding	negative regulation of proteolysis	inner mitochondrial membrane organization	mitochondrion morphogenesis	inner mitochondrial membrane organization	mitochondrion	mitochondrion morphogenesis	protein folding	mitochondrion	inner mitochondrial membrane organization	mitochondrion morphogenesis	negative regulation of proteolysis	inner mitochondrial membrane organization	protein folding	mitochondrion morphogenesis	mitochondrial inner membrane	protein folding	negative regulation of proteolysis	mitochondrion	mitochondrion morphogenesis	negative regulation of proteolysis	mitochondrial inner membrane	mitochondrial inner membrane	mitochondrion	negative regulation of proteolysis	negative regulation of proteolysis	protein folding	mitochondrion	mitochondrial inner membrane"	
NCU04577	supercont10.5	1622379	1624117	+	606.24	hypothetical protein			
NCU12084	supercont10.7	3810235	3811205	-	606	hypothetical protein			
NCU03512	supercont10.2	422205	423659	+	605.952380952381	hypothetical protein			
NCU00303	supercont10.3	3371487	3372908	-	605.863636363636	smr domain-containing protein			
NCU01819	supercont10.2	2305362	2307545	-	605.862068965517	hypothetical protein			
NCU02589	supercont10.1	2829798	2831884	-	605.785714285714	hypothetical protein			
NCU03921	supercont10.6	2493678	2495996	-	605.766666666667	mitochondrial chaperone bcs1			
NCU00718	supercont10.1	7439857	7440218	-	605.636363636364	hypothetical protein			
NCU06012	supercont10.6	3089222	3090912	+	605.583333333333	hypothetical protein			
NCU00925	supercont10.1	6706182	6708312	-	604.965517241379	pescadillo	"GO:0030687	GO:0000462	GO:0005634	GO:0005730	GO:0000462	GO:0005730	GO:0030687	GO:0005730	GO:0042273	GO:0000462	GO:0005634	GO:0042273	GO:0042273	GO:0005730	GO:0000462	GO:0005634	GO:0000462	GO:0005730	GO:0005634	GO:0042273	GO:0030687	GO:0042273	GO:0030687	GO:0005634	GO:0005730	GO:0005634	GO:0000462	GO:0042273	GO:0030687	GO:0030687"	"preribosome	 large subunit precursor	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA	 5.8S rRNA	 LSU-rRNA)	nucleus	nucleolus	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA	 5.8S rRNA	 LSU-rRNA)	nucleolus	preribosome	 large subunit precursor	nucleolus	ribosomal large subunit biogenesis	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA	 5.8S rRNA	 LSU-rRNA)	nucleus	ribosomal large subunit biogenesis	ribosomal large subunit biogenesis	nucleolus	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA	 5.8S rRNA	 LSU-rRNA)	nucleus	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA	 5.8S rRNA	 LSU-rRNA)	nucleolus	nucleus	ribosomal large subunit biogenesis	preribosome	 large subunit precursor	ribosomal large subunit biogenesis	preribosome	 large subunit precursor	nucleus	nucleolus	nucleus	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA	 5.8S rRNA	 LSU-rRNA)	ribosomal large subunit biogenesis	preribosome	 large subunit precursor	preribosome	 large subunit precursor"	
NCU00310	supercont10.3	3395571	3398999	-	604.853658536585	hypothetical protein			
NCU07069	supercont10.6	264919	267839	-	604.805555555556	pre-mRNA splicing factor			
NCU01048	supercont10.5	2763778	2765403	+	604.5	hypothetical protein			
NCU04393	supercont10.4	3508055	3509026	+	604.470588235294	3-hydroxyacyl-CoA dehydrogenase			
NCU03811	supercont10.5	2483524	2489430	+	604.424242424242	hypothetical protein			
NCU04309	supercont10.5	5573464	5574917	+	604.227272727273	phosphoribulokinase/uridine kinase			
NCU09813	supercont10.1	4135083	4136377	-	604.2	SMT3			
NCU08966	supercont10.5	5858403	5862068	+	604.186046511628	hypothetical protein			
NCU06731	supercont10.5	4423644	4426081	-	604.064516129032	hypothetical protein			
NCU02170	supercont10.1	1014237	1016969	-	604.058823529412	hypothetical protein			
NCU07035	supercont10.4	4984084	4987250	+	604.051282051282	bacteriodes thetaiotaomicron symbiotic chitinase			
NCU04126	supercont10.5	4933884	4934715	+	603.6875	hypothetical protein			
NCU08475	supercont10.2	3527160	3528491	-	603.65	hypothetical protein			
NCU05927	supercont10.6	3439079	3441938	-	603.638888888889	GTP-binding protein GUF1	"GO:0003924	GO:0005739	GO:0005759	GO:0005761	GO:0043331	GO:0045727	GO:0003924	GO:0043331	GO:0043331	GO:0005739	GO:0045727	GO:0043022	GO:0005739	GO:0045727	GO:0043022	GO:0005759	GO:0005739	GO:0005761	GO:0005759	GO:0005761	GO:0003924	GO:0043022	GO:0003924	GO:0005761	GO:0005759	GO:0043331	GO:0045727	GO:0043022	GO:0043331	GO:0005739	GO:0005759	GO:0005761	GO:0003924	GO:0005739	GO:0045727	GO:0043022	GO:0043331	GO:0003924	GO:0005761	GO:0045727	GO:0043331	GO:0045727	GO:0005759	GO:0003924	GO:0043022	GO:0005761	GO:0005761	GO:0005739	GO:0045727	GO:0043022	GO:0005739	GO:0003924	GO:0043331	GO:0005759	GO:0043022	GO:0005759"	"GTPase activity	mitochondrion	mitochondrial matrix	mitochondrial ribosome	response to dsRNA	positive regulation of translation	GTPase activity	response to dsRNA	response to dsRNA	mitochondrion	positive regulation of translation	ribosome binding	mitochondrion	positive regulation of translation	ribosome binding	mitochondrial matrix	mitochondrion	mitochondrial ribosome	mitochondrial matrix	mitochondrial ribosome	GTPase activity	ribosome binding	GTPase activity	mitochondrial ribosome	mitochondrial matrix	response to dsRNA	positive regulation of translation	ribosome binding	response to dsRNA	mitochondrion	mitochondrial matrix	mitochondrial ribosome	GTPase activity	mitochondrion	positive regulation of translation	ribosome binding	response to dsRNA	GTPase activity	mitochondrial ribosome	positive regulation of translation	response to dsRNA	positive regulation of translation	mitochondrial matrix	GTPase activity	ribosome binding	mitochondrial ribosome	mitochondrial ribosome	mitochondrion	positive regulation of translation	ribosome binding	mitochondrion	GTPase activity	response to dsRNA	mitochondrial matrix	ribosome binding	mitochondrial matrix"	
NCU02361	supercont10.7	1505667	1507579	+	603.615384615385	formamidase			
NCU00436	supercont10.3	3853708	3856950	+	603.589743589744	GTPase FZO1	"GO:0005741	GO:0005741"	"mitochondrial outer membrane	mitochondrial outer membrane"	
NCU00830	supercont10.1	7030365	7031989	-	603.04347826087	ctr copper transporter	"GO:0009060	GO:0009060	GO:0000909	GO:0009060	GO:0046688	GO:0009847	GO:0000909	GO:0046688	GO:0000909	GO:0046688	GO:0009060	GO:0009847	GO:0009847	GO:0009847	GO:0046688	GO:0009060	GO:0009847	GO:0000909	GO:0000909	GO:0046688"	"aerobic respiration	aerobic respiration	sporocarp development involved in sexual reproduction	aerobic respiration	response to copper ion	spore germination	sporocarp development involved in sexual reproduction	response to copper ion	sporocarp development involved in sexual reproduction	response to copper ion	aerobic respiration	spore germination	spore germination	spore germination	response to copper ion	aerobic respiration	spore germination	sporocarp development involved in sexual reproduction	sporocarp development involved in sexual reproduction	response to copper ion"	
NCU08473	supercont10.2	3532512	3538444	-	602.984848484848	"alpha-1	3-glucanase"			
NCU04503	supercont10.4	3153074	3154969	+	602.961538461538	ribosome biogenesis protein Ssf2			
NCU07042	supercont10.4	5001784	5003194	+	602.952380952381	alcohol dehydrogenase			
NCU10776	supercont10.7	1206077	1207938	-	602.846153846154	DNA-repair protein rad2	"GO:0005515	GO:0005634	GO:0045145	GO:0000731	GO:0005634	GO:0005515	GO:0000723	GO:0045145	GO:0043137	GO:0000731	GO:0005634	GO:0043137	GO:0005634	GO:0045145	GO:0045145	GO:0005515	GO:0000723	GO:0005634	GO:0043137	GO:0000723	GO:0000731	GO:0000731	GO:0000723	GO:0043137	GO:0045145	GO:0005515	GO:0000731	GO:0000723	GO:0045145	GO:0005515	GO:0043137	GO:0000723	GO:0005634	GO:0043137	GO:0005515	GO:0000731	GO:0000723	GO:0005634	GO:0043137	GO:0000731	GO:0045145	GO:0005515"	"protein binding	nucleus	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	DNA synthesis involved in DNA repair	nucleus	protein binding	telomere maintenance	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	DNA replication	 removal of RNA primer	DNA synthesis involved in DNA repair	nucleus	DNA replication	 removal of RNA primer	nucleus	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	protein binding	telomere maintenance	nucleus	DNA replication	 removal of RNA primer	telomere maintenance	DNA synthesis involved in DNA repair	DNA synthesis involved in DNA repair	telomere maintenance	DNA replication	 removal of RNA primer	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	protein binding	DNA synthesis involved in DNA repair	telomere maintenance	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	protein binding	DNA replication	 removal of RNA primer	telomere maintenance	nucleus	DNA replication	 removal of RNA primer	protein binding	DNA synthesis involved in DNA repair	telomere maintenance	nucleus	DNA replication	 removal of RNA primer	DNA synthesis involved in DNA repair	single-stranded DNA specific 5'-3' exodeoxyribonuclease activity	protein binding"	
NCU03148	supercont10.1	4726326	4727871	+	602.818181818182	nascent polypeptide-associated complex beta subunit	"GO:0005829	GO:0043022	GO:0042788	GO:0051604	GO:0051604	GO:0051604	GO:0043022	GO:0005829	GO:0043022	GO:0042788	GO:0051604	GO:0042788	GO:0005829	GO:0042788	GO:0051604	GO:0043022	GO:0005829	GO:0043022	GO:0005829	GO:0042788"	"cytosol	ribosome binding	polysomal ribosome	protein maturation	protein maturation	protein maturation	ribosome binding	cytosol	ribosome binding	polysomal ribosome	protein maturation	polysomal ribosome	cytosol	polysomal ribosome	protein maturation	ribosome binding	cytosol	ribosome binding	cytosol	polysomal ribosome"	
NCU01984	supercont10.1	1779703	1782826	+	602.789473684211	hypothetical protein			
NCU04354	supercont10.4	3661505	3663969	-	602.741935483871	DEAD box family helicase			
NCU11972	supercont10.2	3132053	3132460	+	602.727272727273	hypothetical protein			
NCU08397	supercont10.7	3152546	3155634	-	602.657894736842	hypothetical protein			
NCU00224	supercont10.3	3073146	3073825	-	602.642857142857	hypothetical protein			
NCU07699	supercont10.4	2182736	2185937	+	602.410256410256	hypothetical protein			
NCU04514	supercont10.4	3122246	3124960	+	602.382352941176	GTPase-activating protein gyp3			
NCU04611	supercont10.5	1506491	1511409	+	602.315789473684	transcription elongation factor spt-6			
NCU07924	supercont10.4	1333154	1337876	-	602.259259259259	hypothetical protein			
NCU08956	supercont10.5	5809711	5811873	+	602.035714285714	MSP domain-containing protein			
NCU07020	supercont10.4	4931688	4934011	-	601.870967741935	vacuolar protein sorting-associated protein vps17			
NCU08597	supercont10.1	9527309	9532761	+	601.655737704918	hypothetical protein			
NCU04413	supercont10.4	3453318	3455168	-	601.6	UPF0132 domain-containing protein			
NCU05525	supercont10.6	1619872	1621141	+	601.2	DUF833 domain-containing protein			
NCU06020	supercont10.7	2193145	2194619	-	601.090909090909	chitinase	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU01985	supercont10.1	1775185	1778090	+	601.055555555556	sulfate adenylyltransferase	"GO:0005739	GO:0000103	GO:0005737	GO:0005739	GO:0000103	GO:0006555	GO:0005737	GO:0004781	GO:0005737	GO:0005737	GO:0005739	GO:0006555	GO:0000103	GO:0000103	GO:0005739	GO:0006555	GO:0006555	GO:0004781	GO:0004781	GO:0005739	GO:0000103	GO:0004781	GO:0006555	GO:0006555	GO:0005739	GO:0004781	GO:0005737	GO:0000103	GO:0004781	GO:0005737"	"mitochondrion	sulfate assimilation	cytoplasm	mitochondrion	sulfate assimilation	methionine metabolic process	cytoplasm	sulfate adenylyltransferase (ATP) activity	cytoplasm	cytoplasm	mitochondrion	methionine metabolic process	sulfate assimilation	sulfate assimilation	mitochondrion	methionine metabolic process	methionine metabolic process	sulfate adenylyltransferase (ATP) activity	sulfate adenylyltransferase (ATP) activity	mitochondrion	sulfate assimilation	sulfate adenylyltransferase (ATP) activity	methionine metabolic process	methionine metabolic process	mitochondrion	sulfate adenylyltransferase (ATP) activity	cytoplasm	sulfate assimilation	sulfate adenylyltransferase (ATP) activity	cytoplasm"	
NCU11516	supercont10.1	5680073	5681214	+	601.052631578947	ubiquitin-conjugating enzyme E			
NCU11203	supercont10.1	1865597	1867210	-	600.916666666667	AR2			
NCU00232	supercont10.3	3101378	3104677	-	600.8	hypothetical protein			
NCU11685	supercont10.5	5921311	5923910	+	600.787878787879	mitogen-activated protein kinase MKC1			
NCU04229	supercont10.5	5283845	5287381	+	600.761904761905	DNA excision repair protein			
NCU00283	supercont10.3	3303519	3305379	-	600.76	hypothetical protein			
NCU03802	supercont10.5	2461761	2464135	+	600.677419354839	trimethyllysine dioxygenase	"GO:0045329	GO:0045329	GO:0050353	GO:0045329	GO:0050353	GO:0050353"	"carnitine biosynthetic process	carnitine biosynthetic process	trimethyllysine dioxygenase activity	carnitine biosynthetic process	trimethyllysine dioxygenase activity	trimethyllysine dioxygenase activity"	
NCU05800	supercont10.7	388191	391077	-	600.527777777778	zinc knuckle domain-containing protein			
NCU04827	supercont10.6	962502	966667	+	600.416666666667	hypothetical protein			
NCU04410	supercont10.4	3458826	3461863	-	600.351351351351	tRNA ligase			
NCU04444	supercont10.4	3337030	3342866	-	600.338461538462	hypothetical protein			
NCU06454	supercont10.3	1462674	1464993	-	600.133333333333	rho-type GTPase	"GO:0005515	GO:0005829	GO:0003924	GO:0009898	GO:0009898	GO:0030950	GO:0005634	GO:0005829	GO:0003924	GO:0005515	GO:0032951	GO:0005634	GO:0005515	GO:0030950	GO:0007163	GO:0032951	GO:0005515	GO:0005634	GO:0007163	GO:0003924	GO:0007163	GO:0003924	GO:0032951	GO:0032951	GO:0005515	GO:0007163	GO:0005634	GO:0005829	GO:0007163	GO:0005634	GO:0005829	GO:0032951	GO:0030950	GO:0003924	GO:0005515	GO:0003924	GO:0030950	GO:0005634	GO:0032951	GO:0007163	GO:0009898	GO:0005634	GO:0005829	GO:0009898	GO:0032951	GO:0030950	GO:0007163	GO:0005829	GO:0005634	GO:0007163	GO:0005634	GO:0032951	GO:0007163	GO:0030950	GO:0005829	GO:0009898	GO:0009898	GO:0005515	GO:0030950	GO:0003924	GO:0005829	GO:0009898	GO:0032951	GO:0030950	GO:0009898	GO:0005515	GO:0030950	GO:0003924	GO:0005515	GO:0003924	GO:0009898	GO:0005829"	"protein binding	cytosol	GTPase activity	internal side of plasma membrane	internal side of plasma membrane	establishment or maintenance of actin cytoskeleton polarity	nucleus	cytosol	GTPase activity	protein binding	regulation of beta-glucan biosynthetic process	nucleus	protein binding	establishment or maintenance of actin cytoskeleton polarity	establishment or maintenance of cell polarity	regulation of beta-glucan biosynthetic process	protein binding	nucleus	establishment or maintenance of cell polarity	GTPase activity	establishment or maintenance of cell polarity	GTPase activity	regulation of beta-glucan biosynthetic process	regulation of beta-glucan biosynthetic process	protein binding	establishment or maintenance of cell polarity	nucleus	cytosol	establishment or maintenance of cell polarity	nucleus	cytosol	regulation of beta-glucan biosynthetic process	establishment or maintenance of actin cytoskeleton polarity	GTPase activity	protein binding	GTPase activity	establishment or maintenance of actin cytoskeleton polarity	nucleus	regulation of beta-glucan biosynthetic process	establishment or maintenance of cell polarity	internal side of plasma membrane	nucleus	cytosol	internal side of plasma membrane	regulation of beta-glucan biosynthetic process	establishment or maintenance of actin cytoskeleton polarity	establishment or maintenance of cell polarity	cytosol	nucleus	establishment or maintenance of cell polarity	nucleus	regulation of beta-glucan biosynthetic process	establishment or maintenance of cell polarity	establishment or maintenance of actin cytoskeleton polarity	cytosol	internal side of plasma membrane	internal side of plasma membrane	protein binding	establishment or maintenance of actin cytoskeleton polarity	GTPase activity	cytosol	internal side of plasma membrane	regulation of beta-glucan biosynthetic process	establishment or maintenance of actin cytoskeleton polarity	internal side of plasma membrane	protein binding	establishment or maintenance of actin cytoskeleton polarity	GTPase activity	protein binding	GTPase activity	internal side of plasma membrane	cytosol"	
NCU06444	supercont10.3	1431400	1434100	-	600.114285714286	chloride channel protein 3			
NCU03863	supercont10.6	2706465	2708123	-	600.083333333333	hypothetical protein			
NCU09352	supercont10.2	4209729	4212639	+	600.055555555556	far upstream element-binding protein 2			
NCU02023	supercont10.1	1642517	1645081	-	600	MFS drug efflux pump			
NCU04335	supercont10.4	3737724	3741075	+	599.725	protein kinase			
NCU00676	supercont10.1	7595049	7596510	+	599.545454545455	F1-ATP synthase assembly protein			
NCU09265	supercont10.1	9359863	9362364	-	599.53125	calreticulin			
NCU07553	supercont10.3	4397199	4398959	+	599.52	hypothetical protein			
NCU04933	supercont10.4	786336	787241	-	599.25	nucleoside-diphosphate-sugar epimerase			
NCU08742	supercont10.2	3860029	3861737	-	599.166666666667	DNA repair protein rad14	"GO:0009411	GO:0006289	GO:0006289	GO:0009411	GO:0009411	GO:0006289"	"response to UV	nucleotide-excision repair	nucleotide-excision repair	response to UV	response to UV	nucleotide-excision repair"	
NCU09230	supercont10.1	9477602	9479179	-	599.136363636364	cysteine-16	"GO:0005737	GO:0019346	GO:0006534	GO:0019346	GO:0005737	GO:0005737	GO:0000096	GO:0019346	GO:0004123	GO:0006534	GO:0000096	GO:0019346	GO:0004123	GO:0006534	GO:0000096	GO:0006534	GO:0005737	GO:0006534	GO:0004123	GO:0004123	GO:0019346	GO:0019346	GO:0004123	GO:0005737	GO:0004123	GO:0000096	GO:0005737	GO:0006534	GO:0000096	GO:0000096"	"cytoplasm	transsulfuration	cysteine metabolic process	transsulfuration	cytoplasm	cytoplasm	sulfur amino acid metabolic process	transsulfuration	cystathionine gamma-lyase activity	cysteine metabolic process	sulfur amino acid metabolic process	transsulfuration	cystathionine gamma-lyase activity	cysteine metabolic process	sulfur amino acid metabolic process	cysteine metabolic process	cytoplasm	cysteine metabolic process	cystathionine gamma-lyase activity	cystathionine gamma-lyase activity	transsulfuration	transsulfuration	cystathionine gamma-lyase activity	cytoplasm	cystathionine gamma-lyase activity	sulfur amino acid metabolic process	cytoplasm	cysteine metabolic process	sulfur amino acid metabolic process	sulfur amino acid metabolic process"	
NCU03644	supercont10.5	1934813	1935441	+	599.076923076923	hypothetical protein			
NCU03124	supercont10.1	4642605	4644654	-	598.777777777778	casein kinase II subunit alpha	"GO:0004680	GO:0010378	GO:0040009	GO:0004680	GO:0004680	GO:0032922	GO:0006468	GO:0004680	GO:0004680	GO:0048315	GO:0006468	GO:0032922	GO:0006468	GO:0004680	GO:0048315	GO:0010378	GO:0006468	GO:0032922	GO:0010378	GO:0004680	GO:0040009	GO:0010378	GO:0032922	GO:0040009	GO:0004680	GO:0048315	GO:0004680	GO:0006468	GO:0048315	GO:0006468	GO:0010378	GO:0040009	GO:0032922	GO:0032922	GO:0040009	GO:0048315	GO:0004680	GO:0010378	GO:0004680	GO:0010378	GO:0040009	GO:0040009	GO:0040009	GO:0048315	GO:0004680	GO:0032922	GO:0006468	GO:0004680	GO:0048315	GO:0032922	GO:0048315	GO:0004680	GO:0004680	GO:0004680	GO:0010378	GO:0006468"	"casein kinase activity	temperature compensation of the circadian clock	regulation of growth rate	casein kinase activity	casein kinase activity	circadian regulation of gene expression	protein amino acid phosphorylation	casein kinase activity	casein kinase activity	conidium formation	protein amino acid phosphorylation	circadian regulation of gene expression	protein amino acid phosphorylation	casein kinase activity	conidium formation	temperature compensation of the circadian clock	protein amino acid phosphorylation	circadian regulation of gene expression	temperature compensation of the circadian clock	casein kinase activity	regulation of growth rate	temperature compensation of the circadian clock	circadian regulation of gene expression	regulation of growth rate	casein kinase activity	conidium formation	casein kinase activity	protein amino acid phosphorylation	conidium formation	protein amino acid phosphorylation	temperature compensation of the circadian clock	regulation of growth rate	circadian regulation of gene expression	circadian regulation of gene expression	regulation of growth rate	conidium formation	casein kinase activity	temperature compensation of the circadian clock	casein kinase activity	temperature compensation of the circadian clock	regulation of growth rate	regulation of growth rate	regulation of growth rate	conidium formation	casein kinase activity	circadian regulation of gene expression	protein amino acid phosphorylation	casein kinase activity	conidium formation	circadian regulation of gene expression	conidium formation	casein kinase activity	casein kinase activity	casein kinase activity	temperature compensation of the circadian clock	protein amino acid phosphorylation"	
NCU08340	supercont10.1	5694178	5696294	-	598.75	ADP-ribosylation factor 1	"GO:0003924	GO:0005886	GO:0005057	GO:0005515	GO:0003924	GO:0005886	GO:0005515	GO:0005057	GO:0005057	GO:0003924	GO:0005515	GO:0005886	GO:0005886	GO:0005515	GO:0003924	GO:0005886	GO:0005057	GO:0005057	GO:0003924	GO:0005515"	"GTPase activity	plasma membrane	receptor signaling protein activity	protein binding	GTPase activity	plasma membrane	protein binding	receptor signaling protein activity	receptor signaling protein activity	GTPase activity	protein binding	plasma membrane	plasma membrane	protein binding	GTPase activity	plasma membrane	receptor signaling protein activity	receptor signaling protein activity	GTPase activity	protein binding"	
NCU04113	supercont10.5	4892441	4895823	-	598.634146341463	hypothetical protein			
NCU06035	supercont10.7	2234519	2235903	+	598.52380952381	elongation factor 1-beta			
NCU08367	supercont10.1	5603890	5604766	-	598.1875	hypothetical protein			
NCU04374	supercont10.4	3586685	3588626	-	598.185185185185	MFS transporter			
NCU08644	supercont10.4	4246423	4246905	+	598.166666666667	hypothetical protein			
NCU08983	supercont10.3	4131189	4133664	-	598.15625	Poly(A) polymerase	"GO:0004652	GO:0004652"	"polynucleotide adenylyltransferase activity	polynucleotide adenylyltransferase activity"	
NCU02565	supercont10.1	2748204	2750092	+	597.92	hypothetical protein			
NCU04174	supercont10.5	5089522	5090345	-	597.866666666667	hypothetical protein	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU05342	supercont10.2	1374355	1375782	-	597.714285714286	hypothetical protein			
NCU11178	supercont10.3	3199673	3200462	+	597.666666666667	hypothetical protein			
NCU01633	supercont10.2	2888177	2890364	+	597.655172413793	hexose transporter HXT13			
NCU05386	supercont10.2	1483555	1485763	+	597.655172413793	hypothetical protein			
NCU04506	supercont10.4	3146152	3147411	+	597.65	hypothetical protein			
NCU11340	supercont10.2	1872466	1873199	-	597.642857142857	hypothetical protein			
NCU03189	supercont10.1	4853997	4855103	-	597.526315789474	hypothetical protein			
NCU04944	supercont10.4	822327	823875	-	597.272727272727	thiamine pyrophosphokinase Thi80			
NCU01809	supercont10.2	2353212	2355866	+	597.272727272727	AAA family ATPase/60S ribosome export protein Rix7			
NCU07386	supercont10.1	6130102	6131955	-	597.08	Fe superoxide dismutase			
NCU09139	supercont10.1	5465780	5468068	+	597.066666666667	tubulin-specific chaperone			
NCU02977	supercont10.1	8526184	8528467	-	597.066666666667	DUF887 domain-containing protein			
NCU02550	supercont10.1	2697730	2700987	+	596.923076923077	alpha-galactosidase			
NCU01085	supercont10.5	2861748	2864460	+	596.882352941176	hypothetical protein			
NCU04544	supercont10.7	2754033	2757035	-	596.864864864865	hypothetical protein			
NCU02369	supercont10.7	1527524	1528822	-	596.7	polygalacturonase			
NCU03369	supercont10.2	942066	943595	+	596.318181818182	pirin			
NCU03970	supercont10.6	2351033	2352201	+	596.157894736842	riboflavin kinase			
NCU03893	supercont10.6	2559482	2561510	-	595.964285714286	short-chain dehydrogenase/reductase SDR			
NCU04317	supercont10.5	5596205	5597479	+	595.894736842105	DUF431 domain-containing protein			
NCU00090	supercont10.3	2578245	2581428	-	595.820512820513	pH-response transcription factor pacC/RIM101			
NCU12128	supercont10.6	1030058	1031193	-	595.777777777778	hypothetical protein			
NCU00432	supercont10.3	3840006	3844800	-	595.709090909091	hypothetical protein			
NCU02104	supercont10.1	1268174	1269990	+	595.68	WD domain-containing protein			
